Pregunta, Opción 1, Opción 2, Opción 3, Opción 4, Respuesta Correcta, Explicación
1. ¿Cuál es la forma de la Tierra?, Esfera, Elipsoide de revolución, Cuboide, Irregular, 2, La Tierra es un elipsoide achatado en los polos debido a su rotación.
2. ¿Qué ángulo forma el eje terrestre con la eclíptica?, 0°, 23°27', 45°, 90°, 2, Esta inclinación provoca las estaciones del año.
3. ¿Qué define la longitud geográfica?, Distancia del ecuador, Distancia de Greenwich, Altitud sobre el nivel del mar, Inclinación del eje, 2, La longitud es la distancia medida desde el meridiano de Greenwich.
4. ¿Qué es el Perihelio?, Punto más alejado de la Tierra al Sol, Punto más cercano de la Tierra al Sol, Punto más cercano al ecuador, Movimiento de rotación, 2, El perihelio ocurre cuando la Tierra está más cerca del Sol alrededor de enero.
5. ¿Qué es el Afelio?, Punto más cercano de la Tierra al Sol, Punto más alejado de la Tierra al Sol, Solsticio de verano, Inclinación del eje terrestre, 2, El afelio se produce en julio cuando la Tierra está más alejada del Sol.
6. ¿Cuál es la capa más baja de la atmósfera?, Estratosfera, Termosfera, Troposfera, Mesosfera, 3, Es donde ocurren los fenómenos meteorológicos y donde vivimos.
7. ¿Qué gas es más abundante en la atmósfera?, Oxígeno, Dióxido de carbono, Nitrógeno, Argón, 3, El nitrógeno constituye el 78% de la atmósfera.
8. ¿A qué altura comienza la estratosfera?, 5 km, 10 km, 50 km, 100 km, 2, La estratosfera comienza aproximadamente a 10 km de altura.
9. ¿Qué capa de la atmósfera contiene la capa de ozono?, Mesosfera, Estratosfera, Termosfera, Exosfera, 2, La capa de ozono está en la parte superior de la estratosfera y filtra la radiación ultravioleta.
10. ¿Qué mide un barómetro?, Temperatura, Humedad, Presión atmosférica, Altitud, 3, El barómetro mide la presión atmosférica generalmente en hectopascales o milibares.
11. ¿Qué fenómeno produce el efecto Coriolis?, Rotación de la Tierra, Traslación de la Tierra, Precesión, Nutación, 1, El efecto Coriolis es causado por la rotación terrestre y afecta a la dirección de los vientos.
12. ¿Cuántas horas dura un día en la Tierra?, 24 horas exactas, 23 horas 56 minutos, 25 horas, 23 horas 50 minutos, 2, Un día sideral dura 23 horas y 56 minutos debido a la rotación terrestre.
13. ¿Qué unidad se utiliza más comúnmente para medir la temperatura en meteorología?, Fahrenheit, Kelvin, Celsius, Rankine, 3, La escala Celsius es la más usada en meteorología.
14. ¿Qué es la temperatura?, Medida de la energía cinética promedio de las moléculas, Medida del volumen, Medida de la masa, Medida de la velocidad, 1, La temperatura refleja la cantidad de energía cinética en un objeto.
15. ¿Qué proceso permite que el aire caliente ascienda?, Conducción, Radiación, Convección, Reflejo, 3, La convección es el proceso por el cual el aire caliente menos denso asciende.
16. ¿Qué instrumento mide la humedad relativa del aire?, Termómetro, Barómetro, Higrómetro, Piranómetro, 3, El higrómetro mide la humedad relativa en el aire.
17. ¿Qué sucede en el punto de rocío?, El agua se evapora, El vapor de agua se condensa, La presión aumenta, El viento cesa, 2, El punto de rocío es cuando el vapor de agua se convierte en gotas de agua.
18. ¿Cómo se llama la línea que divide la Tierra en dos hemisferios?, Meridiano de Greenwich, Ecuador, Trópico de Cáncer, Paralelo 40, 2, El ecuador es el círculo máximo que divide la Tierra en los hemisferios norte y sur.
19. ¿Qué instrumento mide la presión atmosférica de forma gráfica?, Barómetro, Higrómetro, Psicrómetro, Barógrafo, 4, El barógrafo registra la presión atmosférica en papel.
20. ¿Cuál es el principal factor que determina el clima de una región?, Longitud, Altitud, Latitud, Temperatura del agua, 3, La latitud afecta la cantidad de radiación solar recibida y por ende el clima.
21. ¿Qué fenómeno causa el cambio de estaciones en la Tierra?, Rotación de la Tierra, Precesión, Nutación, Inclinación del eje terrestre, 4, Las estaciones cambian debido a la inclinación del eje terrestre respecto a la eclíptica.
22. ¿Cuál es el gas principal responsable del efecto invernadero?, Nitrógeno, Oxígeno, Dióxido de carbono, Argón, 3, El dióxido de carbono es uno de los gases clave en el efecto invernadero.
23. ¿Qué tipo de nubes suelen estar asociadas con tormentas?, Cirros, Cúmulos, Estratos, Cumulonimbos, 4, Las cumulonimbos son nubes grandes y densas asociadas con tormentas y lluvias intensas.
24. ¿Qué nombre recibe el balance entre la energía solar recibida y la energía radiada por la Tierra?, Albedo, Radiación, Balance calórico, Efecto invernadero, 3, Este balance es necesario para mantener la temperatura global estable.
25. ¿Cómo se define la presión atmosférica?, Fuerza por unidad de masa, Fuerza por unidad de superficie, Energía por unidad de tiempo, Velocidad por unidad de volumen, 2, La presión atmosférica es el peso del aire por unidad de superficie.
26. ¿Cuál es el valor promedio de la presión atmosférica a nivel del mar?, 1000 hPa, 1013 hPa, 950 hPa, 1100 hPa, 2, La presión atmosférica estándar a nivel del mar es de 1013 hPa.
27. ¿Qué es un anticiclón?, Zona de baja presión, Zona de alta presión, Zona de humedad alta, Zona de temperatura baja, 2, Un anticiclón es una región donde la presión atmosférica es más alta que en las áreas circundantes.
28. ¿Qué provoca una borrasca?, Descenso de la temperatura, Aumento de la presión, Tiempo inestable, Aumento de la nubosidad, 3, Una borrasca está asociada con tiempo inestable y posibles precipitaciones.
29. ¿Qué mide un psicrómetro?, Temperatura del aire, Humedad relativa, Radiación solar, Presión atmosférica, 2, El psicrómetro mide la humedad relativa utilizando dos termómetros.
30. ¿Qué sucede cuando la Tierra está más lejos del Sol?, Perihelio, Afelio, Solsticio, Equinoccio, 2, El afelio es el punto más alejado del Sol en la órbita terrestre.
31. ¿Qué nombre recibe la capa de transición entre la troposfera y la estratosfera?, Tropopausa, Mesopausa, Estratopausa, Termopausa, 1, La tropopausa es la frontera entre la troposfera y la estratosfera.
32. ¿Cuál es el componente más importante para la formación de nubes?, Oxígeno, Vapor de agua, Dióxido de carbono, Nitrógeno, 2, El vapor de agua es esencial para la condensación que forma las nubes.
33. ¿Qué provoca el aumento de la temperatura en la termosfera?, Radiación infrarroja, Ondas de radio, Radiación ultravioleta y rayos X, Luz visible, 3, Estos tipos de radiación son absorbidos por los gases de la termosfera aumentando su temperatura.
34. ¿Qué instrumento se usa para medir la temperatura atmosférica?, Barógrafo, Termómetro, Psicrómetro, Anemómetro, 2, El termómetro es el instrumento estándar para medir la temperatura.
35. ¿Qué efecto tiene el albedo en la temperatura?, Aumenta la absorción de calor, Refleja la radiación solar, Dispersa el calor, Reduce la presión atmosférica, 2, El albedo refleja la radiación solar y disminuye la cantidad de calor absorbido.
36. ¿Qué determina el albedo de una superficie?, Color y textura, Altitud, Composición química, Presión atmosférica, 1, Superficies claras tienen un albedo alto lo que significa que reflejan más radiación solar.
37. ¿Qué capa de la atmósfera es la más externa?, Estratosfera, Exosfera, Mesosfera, Termosfera, 2, La exosfera es la capa más externa de la atmósfera y se extiende hasta el espacio.
38. ¿Qué ocurre durante la precesión de los equinoccios?, Cambio en la distancia Tierra-Sol, Variación en la inclinación del eje terrestre, Cambio lento en la orientación del eje de la Tierra, Cambio en la velocidad de rotación, 3, La precesión provoca que el eje terrestre trace un círculo completo cada 26000 años.
39. ¿Qué capa atmosférica se considera una "manta protectora" de la Tierra debido a su capacidad para absorber radiación UV?, Troposfera, Estratosfera, Mesosfera, Termosfera, 2, La estratosfera contiene la capa de ozono que absorbe la radiación ultravioleta.
40. ¿Cómo se llama el fenómeno que describe el calentamiento de la atmósfera debido a la acumulación de gases como el CO2?, Albedo, Efecto invernadero, Corriente en chorro, Convección, 2, El efecto invernadero es el proceso por el cual los gases atrapan el calor en la atmósfera.
